Date,Website,Title,URL,Author
2025-12-27T03:21:34Z,University of Michigan Athletics,Kyle Whittingham Named Michigan's J. Ira and Nicki Harris Family Head Football Coach,https://mgoblue.com/news/2025/12/26/kyle-whittingham-named-michigans-j-ira-and-nicki-harris-family-head-football-coach,Pete Thamel & Dan Wetzel
2025-12-26T12:45:00Z,ESPN,Sources: U-M targeting Utes legend Whittingham,https://www.espn.com/college-football/story/_/id/47417485/sources-michigan-targeting-utah-coach-kyle-whittingham,Pete Thamel & Dan Wetzel
2025-12-27T03:33:39Z,Bleacher Report,"Kyle Whittingham, Michigan Agree to HC Contract After Sherrone Moore Firing",https://bleacherreport.com/articles/25324053-kyle-whittingham-michigan-agree-hc-contract-after-sherrone-moore-firing,
2025-12-27T00:42:56Z,KSL.com,"Kyle Whittingham heads to Michigan, with plans for these 2 coordinators to join him",https://www.ksl.com/article/51423952/kyle-whittingham-heads-to-michigan-with-plans-for-these-2-coordinators-to-join-him,Sean Walker
2025-12-26T23:56:29Z,Ravens Home | Baltimore Ravens - baltimoreravens.com,Jordan Love Won't Play vs. Ravens,https://www.baltimoreravens.com/news/jordan-love-injury-report-ruled-out-ravens-packers,Ryan Mink
2025-12-26T21:10:00Z,ESPN,"Packers rule out Love, will start Willis vs. Ravens",https://www.espn.com/nfl/story/_/id/47420884/packers-qb-jordan-love-ruled-due-concussion,Rob Demovsky
2025-12-26T21:01:00Z,NFL.com,Packers downgrade QB Jordan Love (concussion) to out vs. Ravens; Malik Willis expected to start,https://www.nfl.com/news/packers-qb-jordan-love-out-ravens-malik-willis-to-start,
2025-12-24T22:04:59Z,NBC Sports,Malik Willis downgraded to DNP with illness on Wednesday,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/malik-willis-downgraded-to-dnp-with-illness-on-wednesday,Myles Simmons
2025-12-26T06:56:15Z,ESPN,"Nuggets 142-138 Timberwolves (Dec 25, 2025) Game Recap",https://www.espn.com/nba/recap?gameId=401809242,Zach Kram
2025-12-26T12:00:00Z,ESPN,Reasons for optimism and pessimism for all 10 NBA teams that played on Christmas,https://www.espn.com/nba/story/_/id/47412460/nba-christmas-ten-teams-thunder-lakers-knicks-warriors-spurs,Zach Kram
2025-12-26T16:54:04Z,NBA,Kia MVP Ladder: Nikola Jokić holds No. 1 spot after historic performance on Christmas Day,https://www.nba.com/news/kia-mvp-ladder-dec-26-2025,Shaun Powell
2025-12-26T08:55:04Z,BBC,Nikola Jokic breaks Steph Curry record with historic triple-double in Denver Nuggets win,https://www.bbc.com/sport/basketball/articles/c8dyzyj9d88o,Sean Kearns
2025-12-27T01:07:30Z,The New York Times,"Maxx Crosby to miss Raiders' game vs. Giants despite pushback, Pete Carroll says",https://www.nytimes.com/athletic/6920492/2025/12/26/maxx-crosby-raiders-sit-out-pushes-back/,Saad Yousuf & Matt Schubert
2025-12-27T01:13:40Z,Yahoo Sports,Maxx Crosby reportedly shut down by Raiders for Week 17 matchup against Giants,https://sports.yahoo.com/nfl/article/maxx-crosby-exits-raiders-building-after-being-shut-down-for-week-17-against-giants-210008904.html,Sean Leahy
2025-12-26T22:58:45Z,NBC Sports,Pete Carroll confirms Maxx Crosby left the facility after team shut down the Pro Bowler,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/pete-carroll-confirms-maxx-crosby-left-the-facility-after-team-shut-down-the-pro-bowler,Charean Williams
2025-12-26T21:01:42Z,Bleacher Report,"Maxx Crosby Left Raiders Building Over NFL Injury Status, Latest on Raiders Star",https://bleacherreport.com/articles/25339741-maxx-crosby-left-raiders-building-over-nfl-injury-status-latest-raiders-star,
2025-12-25T21:07:33Z,Chargers.com,5 Final Thoughts Ahead of Chargers-Texans in Week 17,https://www.chargers.com/news/texans-playoff-chances-game-preview-week-17,Kris Rhim
2025-12-26T11:00:00Z,ESPN,The Chargers are fresh off one of their best performances. Can they keep it up against Houston?,https://www.espn.com/nfl/story/_/id/47399202/los-angeles-chargers-offense-cowboys-preview-houston-texans-playoffs,Kris Rhim
2025-12-26T18:18:42Z,FanDuel,"3 Best NFL Bets and Player Props for Texans at Chargers, Week 17",https://www.fanduel.com/research/3-best-nfl-bets-and-player-props-for-texans-at-chargers-week-17,Jim Sannes
2025-12-26T13:20:08Z,CBS Sports,"Texans vs. Chargers prediction, pick, odds, where to watch, live stream, kickoff time",https://www.cbssports.com/nfl/news/texans-vs-chargers-where-to-watch-pick-odds-prediction/,Garrett Podell
2025-12-27T02:44:29Z,ESPN,"Tracking the NFL playoff picture: Updated chances to clinch open spots, win division titles",https://www.espn.com/espn/feature/story/_/id/47248728/2025-nfl-playoff-live-odds-updated-chances-clinch-bracket-projections-scenarios,Austin Mock
2025-12-26T13:56:01Z,The New York Times,49ers-Bears and other Week 17 games that will have huge impact on playoff races - The Athletic,https://www.nytimes.com/athletic/6911375/2025/12/26/nfl-playoff-races-week-17-bears-49ers-ravens-packers/,Austin Mock
2025-12-26T09:12:00Z,Yahoo Sports,"NFL Playoff Picture 2025: Updated AFC and NFC standings, bracket, tiebreakers for Week 17",https://sports.yahoo.com/articles/nfl-playoff-picture-2025-updated-130554037.html,Michael David Smith
2025-12-23T19:11:00Z,NFL.com,NFL playoff picture: Postseason probabilities entering Week 17 of the 2025 season,https://www.nfl.com/news/nfl-playoff-picture-postseason-probabilities-entering-week-17-of-the-2025-season,Ali Bhanpuri
2025-12-27T02:48:45Z,ESPN,"Minnesota 20-17 New Mexico (Dec 26, 2025) Game Recap",https://www.espn.com/college-football/recap?gameId=401778314,Ryan Gaydos
2025-12-27T02:41:16Z,Fox News,Minnesota wide receiver makes incredible diving catch to win bowl game,https://www.foxnews.com/sports/minnesota-wide-receiver-makes-incredible-diving-catch-win-bowl-game,Ryan Gaydos
2025-12-27T01:55:00Z,USA Today,"Minnesota walks off New Mexico in OT for Rate Bowl win: Reaction, highlights",https://www.usatoday.com/story/sports/ncaaf/2025/12/26/new-mexico-minnesota-live-updates-score-rate-bowl/87797744007/,John Leuzzi
2025-12-27T00:32:50Z,KOB.com,Lobo fans cheer on men's football team in Albuquerque,https://www.kob.com/sports-stories/lobos/lobos-fans-cheer-on-mens-football-team-in-albuquerque/,Morgan Stephens
2025-12-27T02:05:00Z,ESPN,Lakers' Reaves (calf strain) out at least 1 month,https://www.espn.com/nba/story/_/id/47422711/lakers-austin-reaves-sidelined-least-4-weeks-due-left-calf-strain,Dave McMenamin
2025-12-27T03:22:44Z,NBA,Austin Reaves will miss at least a month with calf injury,https://www.nba.com/news/austin-reaves-will-miss-at-least-a-month-with-calf-injury,
2025-12-27T02:10:57Z,Yahoo Sports,Lakers' Austin Reaves out at least 4 weeks with calf strain,https://sports.yahoo.com/nba/article/lakers-austin-reaves-out-at-least-4-weeks-with-calf-strain-021057140.html,Jack Baer
