Date,Website,Title,URL,Author,Description,Image
2026-04-03T04:00:00.000Z,Sydney Morning Herald,Easy pieces from $14 for lovers of ‘dopamine dressing’,https://www.smh.com.au/national/easy-pieces-from-14-for-lovers-of-dopamine-dressing-20260323-p5rosw.html?ref=rss&utm_medium=rss&utm_source=rss_feed,,Vibrant accents boost your mood and your wardrobe.,https://static.ffx.io/images/$zoom_1.3971%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_106/t_crop_custom/q_86%2Cf_auto/c6ca1755f161e2ab9f9704566a9719432929e0004523acbaa9d460ea26d98b51
2026-04-03T03:59:08.000Z,Sydney Morning Herald,North Melbourne vs Carlton AFL LIVE: Can the Blues bounce back on Good Friday after horror fadeout?,https://www.smh.com.au/sport/afl/north-melbourne-vs-carlton-afl-live-can-the-blues-in-good-friday-clash-after-horror-fadeout-20260402-p5zl3w.html?ref=rss&utm_medium=rss&utm_source=rss_feed,,"Carlton and North Melbourne are desperate for victory as they meet in their annual Good Friday clash at Marvel Stadium. Follow along for live updates, news and post-match reactions.",https://static.ffx.io/images/$zoom_0.3280667512564064%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_261%2C$y_58/t_crop_custom/q_86%2Cf_auto/08d1538b6839617118b6d6e5215a76308ee13893
2026-04-03T03:52:56.000Z,Bloomberg,"Macron Says France, South Korea Can Work Toward Hormuz Stability",https://www.bloomberg.com/news/articles/2026-04-03/macron-says-france-south-korea-can-work-toward-hormuz-stability,,"French President Emmanuel Macron sees scope for cooperation with South Korea to stabilize the situation in the Strait of Hormuz, but only once bombing ends.",
2026-04-03T03:47:48.000Z,The Independent,Manned mission to Moon fires engines to leave Earth’s orbit,https://www.independent.co.uk/news/science/moon-earth-orion-jared-isaacman-christina-koch-b2951318.html,,"Firing the rockets on the Orion spacecraft will send them towards the Moon, which the crew will circle before returning to Earth.",
2026-04-03T03:47:23.000Z,Gulf News,"Blake Lively vs Justin Baldoni: Court axes sexual harassment claims, retaliation trial still on",https://gulfnews.com/entertainment/blake-lively-vs-justin-baldoni-court-axes-sexual-harassment-claims-retaliation-trial-still-on-1.500494942,,"The legal battle tied to It Ends with Us has entered a new phase. While recent reports suggest a win for Justin Baldoni, the dispute with co-star Blake Lively is far from resolved. Instead, a federal court decision has trimmed the case, setting the stage for a more focused, and potentially turbulent, trial in May.Blake Lively's private voice memos to Justin Baldoni revealed: 'Talking to you as a friend'What the court kept and what it cutIn Manhattan, Judge Lewis Liman dismissed the majority of Lively’s claims, significantly narrowing the lawsuit. Ten out of thirteen allegations, including sexual harassment and defamation claims, were struck down, according to Associated Press. However, the case is not over. Three key claims, breach of contract, retaliation, and aiding and abetting retaliation, remain intact and will be examined by a jury on May 18.The dismissal of the sexual harassment claims hinged on a legal technicality rather than a factual ruling. The court determined that Lively was working as an independent contractor, not an employee, which means she cannot pursue claims under Title VII protections.Performance and discomfortThe ruling also sheds light on the blurred boundaries actors often navigate on set. Lively had alleged that Baldoni’s behaviour during romantic scenes, including unscripted physical moments and personal remarks, created an uncomfortable working environment.Judge Liman acknowledged the complexity of such situations, noting that film performances, particularly in romantic narratives, require a degree of creative flexibility. In this context, he concluded that the conduct in question was aimed at Lively’s character, Lily Bloom, rather than Lively herself.Still, not all details were brushed aside. One specific incident, in which Baldoni allegedly asked Lively to remove her jacket to reveal a bra, described the look as “pretty hot,” and later joked about lacking harassment training, may resurface in court as part of the retaliation claims.A battle beyond the setLively’s legal team, led by Sigrid McCawley, continues to push back strongly. They argue that the core of the dispute lies not in on-set conduct alone, but in what followed.According to the complaint, Baldoni and his studio, Wayfarer Studios, allegedly engaged in a calculated effort to damage Lively’s public image. The claim points to a coordinated smear campaign involving social media tactics and media influence aimed at undermining her credibility ahead of the film’s release.Baldoni’s own $400 million countersuit, which accused Lively and her husband Ryan Reynolds of extortion has already been dismissed, further tightening the scope of what will be argued in court.The road to trialWith the latest ruling in place, attention now shifts to the courtroom in New York. Lively is expected to testify, offering her account of the alleged retaliation and its impact on her career.Ultimately, the jury will be tasked with determining whether the studio took extraordinary measures to harm her professional standing after she raised concerns.Blake Lively's private voice memos to Justin Baldoni revealed: 'Talking to you as a friend'Blake Lively’s $550M lawsuit against Justin Baldoni moves to trial after failed talks",
2026-04-03T03:46:39.000Z,NY Times,Iran War Live Updates: Strikes Hit Infrastructure Sites in Iran After Trump’s Threat,https://www.nytimes.com/live/2026/04/02/world/iran-war-trump-news,,President Trump celebrated an attack on a major highway bridge outside of Tehran after vowing to take Iran “back to the Stone Ages.” And a leading public health institution in the country was destroyed.,
2026-04-03T03:43:03.000Z,The Independent,Iran-US war latest: Trump threatens destruction of bridges and electric power plants in push for Tehran deal,https://www.independent.co.uk/news/world/middle-east/iran-us-war-live-trump-speech-oil-strait-of-hormuz-b2950540.html,,The US president’s comments come after Emmanuel Macron urged Trump to ‘be serious’ and ‘let things quieten down’,
2026-04-03T03:42:46.000Z,Sydney Morning Herald,Fire torches front yard of home north of Brisbane,https://www.smh.com.au/national/queensland/fire-torches-front-yard-of-home-north-of-brisbane-20260403-p5zl7a.html?ref=rss&utm_medium=rss&utm_source=rss_feed,,"Residents of a Morayfield home have suffered a grim start to the Easter break after a fire broke out on Thursday night, with police dubbing the blaze suspicious.",https://static.ffx.io/images/$zoom_1.103125%2C$multiply_0.3720%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_54/t_crop_custom/q_86%2Cf_auto/14ce1af5b5cfe959b127c567fc3f2a3f8b8d36694addb4a139aff5748cbf964e
2026-04-03T03:41:42.000Z,Korea Herald,Hybe’s Latin boy group Santos Bravos to make Korea debut,https://www.koreaherald.com/article/10709488,,"Santos Bravos, a Latin pop boy group under Hybe, is set to make its first appearance on Korean music shows since its debut. According to Hybe Latin America, the group will arrive in Korea on Friday and stay for about three weeks to carry out various promotional activities, including performances on local music programs. “Promoting in Korea, the birthplace of K-pop, is a meaningful challenge for us,” Santos Bravos said. “We want to present great performances with respect while proudly showcasing",
2026-04-03T03:37:20.000Z,Sydney Morning Herald,The treats hiding in plain sight at Sydney’s museums and galleries,https://www.smh.com.au/culture/art-and-design/the-treats-hiding-in-plain-sight-at-sydney-s-museums-and-galleries-20260327-p5zj68.html?ref=rss&utm_medium=rss&utm_source=rss_feed,,This Easter hunt with a difference uncovers free activities and secret corners of Sydney that can be visited car-free.,https://static.ffx.io/images/$zoom_0.2648%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_80/t_crop_custom/q_86%2Cf_auto/efc11052e92a83d0434968960ba9c9fc923d474c
2026-04-03T03:35:28.000Z,BBC News,Artemis II blasts ever closer to the far side of the Moon,https://www.bbc.com/news/articles/c937g7nd5x4o?at_medium=RSS&at_campaign=rss,,"The mission's last, big push on its lunar journey takes humans out of the Earth's orbit for the first time since 1972.",
2026-04-03T03:32:00.000Z,Ynet News,"שי לחג מח""כ ביסמוט: העמקת השחיקה במקום ביטחון",https://www.ynet.co.il/news/article/bjgwelnjbg,,"די להכשרת ההשתמטות החרדית: חוק שאינו כולל הרחבת גיוס מכל חלקי החברה הישראלית, כולל הציבור החרדי, ושאינו מציב תמריצים וסנקציות לשינוי המציאות - הוא חוק שפוגע, באופן ישיר ותלוי, בביטחון המדינה",https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/12/01/SyWywTc11Wl/SyWywTc11Wl_253_181_843_474_0_medium.jpg
