Date,Website,Title,URL,Author
2025-12-24T21:27:38Z,The New York Times,"A Million More Epstein Documents Have Been Found, Justice Dept. Says",https://www.nytimes.com/2025/12/24/us/politics/epstein-files-documents-doj.html,Devlin Barrett & Michael Gold
2025-12-24T19:49:00Z,The Atlantic,So This Is Why Trump Didn't Want to Release the Epstein Files,https://www.theatlantic.com/politics/2025/12/trump-epstein-files-justice-department-redactions/685455/,Sarah Fitzpatrick
2025-12-25T08:06:45Z,NPR,DOJ says it may need a 'few more weeks' to finish releasing Epstein files,https://www.npr.org/2025/12/25/g-s1-103685/doj-says-few-more-weeks-epstein-files,
2025-12-25T10:58:48Z,The New York Times,Heavy Rains and Floods Threaten California on Christmas Day,https://www.nytimes.com/2025/12/25/weather/rain-flooding-los-angeles-storm.html,Francesca Regalado
2025-12-25T09:01:00Z,ABC7 Los Angeles,Brunt of storm slams Inland Empire as heavy rain prompts evacuations and road closures across SoCal,https://abc7.com/live-updates/southern-california-weather-atmospheric-river-bring-storm-possible-flash-floods-region/18307242/,
2025-12-25T00:57:48Z,BBC,"Watch: Mudslides, flooding and debris - storms batter southern California",https://www.bbc.com/news/videos/c4gp7xx2x02o,
2025-12-22T10:00:00Z,Washington Monthly,The GOP War on Nurses,https://washingtonmonthly.com/2025/12/22/gop-war-on-nurses-graduate-student-loans-tax-cuts/,Paul Glastris
2025-12-23T20:09:00Z,Spectrum News,How excluding nursing from 'pro­fes­sional' degree status could affect student loans,https://spectrumlocalnews.com/nys/central-ny/news/2025/12/23/nursing-degree-redefined-,Shalon Stevens
2025-12-23T10:10:00Z,Business Insider,Trump is getting rid of a key student-loan program. Yale has a replacement.,https://www.businessinsider.com/trump-getting-rid-grad-plus-student-loans-borrowing-yale-replacement-2025-12,Ayelet Sheffey
2025-12-25T04:50:55Z,The New York Times,Kennedy Center's Christmas Eve Jazz Show Canceled After Trump Name Added to Building,https://www.nytimes.com/2025/12/24/us/kennedy-center-christmas-eve-concert-trump.html,Francesca Regalado
2025-12-25T01:21:00Z,CNN,Annual Christmas Eve jazz concert canceled after Trump's name installed on Kennedy Center,https://www.cnn.com/2025/12/24/politics/kennedy-center-christmas-eve-concert-trump,Aleena Fayaz
2025-12-24T13:00:00Z,The Hill,Trump's naming spree draws legal scrutiny,https://thehill.com/newsletters/the-gavel/5661607-trump-renames-institutions-legacy/,Ella Lee & Zach Schonfeld
2025-12-24T21:56:35Z,CNN,Trump-backed ex-mayor declared winner of Honduran presidential election,https://www.cnn.com/2025/12/24/americas/honduras-presidential-election-results-latam-intl,
2025-12-25T00:39:00Z,The Guardian,Trump-backed candidate Asfura declared new president of Honduras,https://www.theguardian.com/world/2025/dec/24/honduras-nasry-tito-asfura-declared-president-donald-trump-backed,Tiago Rogero
2025-12-24T21:53:49Z,U.S. Department of State (.gov),Congratulating Honduras' President-Elect Asfura's Electoral Victory,https://www.state.gov/releases/office-of-the-spokesperson/2025/12/statement-by-secretary-marco-rubio-congratulating-honduras-president-elect-asfuras-electoral-victory,Marco Rubio
2025-12-25T05:00:05Z,The New York Times,Why Russia Is Likely to Reject the New U.S.-Ukrainian Peace Plan,https://www.nytimes.com/2025/12/25/world/europe/russia-ukraine-peace-plan.html,Ivan Nechepurenko
2025-12-25T11:17:08Z,Reuters,"Russia is analysing US documents on Ukraine peace deal, Kremlin says",https://www.reuters.com/world/europe/russia-is-analysing-us-documents-ukraine-peace-deal-kremlin-says-2025-12-25/,"Dmitry Antonov, Guy Faulconbridge & Gleb Stolyarov"
2025-12-25T03:06:19Z,Institute for the Study of War,"Russian Offensive Campaign Assessment, December 24, 2025",https://understandingwar.org/research/russia-ukraine/russian-offensive-campaign-assessment-december-24-2025/,
2025-12-24T17:32:57Z,The New York Times,Trump's Seizures of Oil Tankers Challenge Maritime Rules and Customs,https://www.nytimes.com/2025/12/24/business/trump-venezuela-oil-tankers.html,Peter Eavis
2025-12-22T23:47:16Z,CNN,Trump says US remains in pursuit of oil tanker and it'd be 'smart' for Maduro to step down,https://www.cnn.com/2025/12/22/politics/oil-tanker-pursuit-trump-maduro,Donald Judd & Kevin Liptak
2025-12-24T01:19:22Z,Axios,"Trump on seized Venezuelan oil: ""We're gonna keep it""",https://www.axios.com/2025/12/23/trump-venezuela-oil-policy-keep,Marc Antony Caputo
2025-12-24T23:49:58Z,CNN,Trump tells 10-year-old child he made sure 'a bad Santa' is not 'infiltrating' the US,https://www.cnn.com/2025/12/24/politics/trump-santa-norad-calls,Kevin Liptak
2025-12-25T00:41:15Z,BBC,Where is Santa now? Trump answers kids' Christmas calls to Norad tracker,https://www.bbc.com/news/videos/cqxqvd0z5gno,
2025-12-25T01:49:00Z,NBC News,Trump adds 'clean coal' into holiday mix in Christmas Eve call with kids,https://www.nbcnews.com/politics/donald-trump/trump-clean-coal-norad-santa-tracker-calls-children-christmas-eve-rcna250897,
2025-12-23T21:03:02Z,6abc Philadelphia,"2 dead, 20 hospitalized after explosion at Bucks County, Pennsylvania nursing home",https://6abc.com/post/explosion-reported-nursing-home-bucks-county-reports-people-trapped/18309877/,
2025-12-23T20:22:33Z,NBC10 Philadelphia,"Multiple people hurt in explosion at nursing home in Bucks County, Pa.",https://www.nbcphiladelphia.com/news/local/emergency-crews-respond-to-reported-explosion-at-nursing-home-in-bucks-county/4321989/,David Chang
2025-12-24T20:33:55Z,ABC News,"1 nursing home resident, 1 employee killed in fire, explosion; cause under investigation",https://abcnews.go.com/US/1-nursing-home-resident-1-employee-killed-fire/story?id=128680113,Emily Shapiro
2025-12-24T15:02:11Z,The New York Times,They Seek to Curb Online Hate. The U.S. Accuses Them of Censorship.,https://www.nytimes.com/2025/12/24/business/europe-us-online-censorship-free-speech.html,Adam Satariano
2025-12-25T03:28:28Z,The Guardian,"Trump news at a glance: EU could respond to 'unjustified' US visa bans, official says",https://www.theguardian.com/us-news/2025/dec/25/trump-administration-news-updates-today-latest,
