Date,Website,Title,URL
11/13/2025,DW,Germany to introduce voluntary military service,https://www.dw.com/en/germany-to-introduce-voluntary-military-service/a-74733722
11/13/2025,BBC,Germany agrees new military service plan to boost troop numbers,https://www.bbc.com/news/articles/c4gpkerdn9qo
11/13/2025,The Wall Street Journal,Germany's Answer to Its Conscription Dilemma: a Database of Young Men Fit for War,https://www.wsj.com/world/europe/berlins-answer-to-its-conscription-conundrum-a-massive-medical-database-5728dd42
11/14/2025,The Guardian,Germany decides against conscription to replenish post-cold war military,https://www.theguardian.com/world/2025/nov/13/germany-decides-against-conscription-to-replenish-post-cold-war-military
11/13/2025,NPR,"A decade after the Bataclan attacks, France is still grappling with how to remember",https://www.npr.org/2025/11/13/nx-s1-5604194/paris-france-bataclan-attacks-10-years-anniversary
11/13/2025,The New York Times,How France Remembers the November 2015 Terrorist Attacks in Paris,https://www.nytimes.com/2025/11/13/world/europe/france-paris-terrorist-attacks-anniversary.html
11/13/2025,abcnews.go.com,"10 years after Bataclan massacre, Paris is still scarred by Islamic State attacks",https://abcnews.go.com/International/wireStory/france-honors-victims-paris-attacks-night-terror-10-127478443
11/13/2025,The Guardian,'The pain remains': France remembers victims of 2015 Paris attacks,https://www.theguardian.com/world/2025/nov/13/france-paris-attacks-10th-anniversary
11/14/2025,CNN,Israel identifies deceased hostage returned by Hamas as Manny Godard,https://www.cnn.com/2025/11/13/middleeast/deceased-israeli-hostage-identified-latam-intl
11/13/2025,NBC News,Israel says militants in Gaza have handed over to the Red Cross a body believed to be a hostage,https://www.nbcnews.com/world/middle-east/israel-militants-gaza-red-cross-body-believed-hostage-rcna243768
11/13/2025,i24NEWS,"Settlers Set West Bank Mosque On Fire, Palestinian Media Reports | LIVE BLOG",https://www.i24news.tv/en/news/israel-at-war/artc-settlers-set-west-bank-mosque-on-fire-palestinian-media-reports-live-blog
11/14/2025,Haaretz,Body of Slain Israeli Hostage Meni Godard Returned From Gaza Strip,https://www.haaretz.com/israel-news/2025-11-14/ty-article-live/body-of-slain-israeli-hostage-meni-godard-returned-from-gaza-strip/0000019a-802d-dc33-afdf-ef6fc9ff0000
11/13/2025,Reuters,Colombia's 'lost children' remain open wound 40 years after deadly volcanic eruption,https://www.reuters.com/world/americas/colombias-lost-children-remain-open-wound-40-years-after-deadly-volcanic-2025-11-13/
11/13/2025,CBS News,U.S. issues unusual warning to Americans in Japan: Beware of bear attacks,https://www.cbsnews.com/news/japan-bear-attacks-united-states-warning-american-travelers/
11/12/2025,U.S. Embassy & Consulates in Japan (.gov),Wildlife Alert: U.S. Embassy Tokyo,https://jp.usembassy.gov/wildlife-alert-us-embassy-tokyo/
11/13/2025,The Japan Times,"As attacks surge, who can cull bears in Japan?",https://www.japantimes.co.jp/news/2025/11/13/japan/explainer/who-culls-bears-japan/
11/13/2025,The Guardian,"Amid Japan's surge in bear attacks, a torrent of AI-generated videos is adding to anxiety",https://www.theguardian.com/world/2025/nov/13/amid-japans-surge-in-bear-attacks-a-torrent-of-ai-generated-videos-is-adding-to-anxiety
11/13/2025,AP News,EU renews demand that Ukraine crack down on corruption in wake of major energy scandal,https://apnews.com/article/russia-ukraine-war-corruption-scandal-pokrovsk-a25b76c6c9830baafcf16ac5648bdd4c
11/13/2025,AP News,Top Ukrainian ministers submit their resignations as the country is rocked by a corruption scandal,https://apnews.com/article/russia-ukraine-war-corruption-scandal-6e33b63b8071f46140956d4d23ab00de
11/13/2025,CNN,Energy scandal spells trouble for Zelensky as Ukrainians face another winter of power cuts,https://www.cnn.com/2025/11/13/europe/ukraine-zelensky-energy-corruption-scandal-intl
11/13/2025,Al Jazeera,Could Ukraine's corruption crisis 'lead to military defeat' against Russia?,https://www.aljazeera.com/news/2025/11/13/could-ukraines-corruption-crisis-lead-to-military-defeat-against-russia
11/13/2025,Politico,Israel's president says 'shocking' settler violence against Palestinians must end,https://www.politico.com/news/2025/11/13/israels-president-says-shocking-settler-violence-against-palestinians-must-end-00650197
11/12/2025,NPR,Israel's president says 'shocking' settler violence against Palestinians must end,https://www.npr.org/2025/11/12/g-s1-97616/israel-west-bank-settler-violence-palestinians
11/13/2025,Al Jazeera,Israeli settler attack on West Bank mosque draws international condemnation,https://www.aljazeera.com/news/2025/11/13/israeli-settler-attack-on-west-bank-mosque-draws-international-condemnation
11/13/2025,The New York Times,Israeli Settlers Burn West Bank Mosque Amid Rise in Violent Attacks,https://www.nytimes.com/2025/11/13/world/middleeast/israel-settlers-west-bank-mosque.html
11/13/2025,DW,Fossil fuel emissions to hit new record in 2025: study,https://www.dw.com/en/fossil-fuel-emissions-to-hit-new-record-in-2025-study/a-74720353
11/13/2025,The Washington Post,"The world will blow past U.N. climate goals in four years, report finds",https://www.washingtonpost.com/climate-environment/2025/11/12/carbon-emissions-global-high-us-eu/
11/13/2025,The New York Times,"Greenhouse Gas Emissions Head for a Record in 2025, Global Carbon Project Reports",https://www.nytimes.com/2025/11/12/climate/greenhouse-gas-emissions-china.html
